,MOVIES,RATING,PLOT,VOTES,RunTime,Gross,MOVIE ID,is_tv_movie,is_tv_special,is_tv_short,is_video_game
61,Legends of Tomorrow,6.8,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","95,897",42.0,,3456,0,0,0,0
62,Star Trek: The Next Generation,8.6,"Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.","106,181",44.0,,5199,0,0,0,0
63,Le dernier mercenaire,5.4,"A mysterious former secret service agent must urgently return to France when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.","2,606",110.0,,3436,0,0,0,0
64,Resort to Love,5.7,"Erica, who ends up as the entertainment at her ex-fiancé's wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.","1,591",101.0,,4634,0,0,0,0
65,Evil,7.7,"A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.","15,048",42.0,,2080,0,0,0,0
66,The Expanse,8.5,"In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.","119,644",60.0,,5621,0,0,0,0
67,New Amsterdam,8.1,A new medical director breaks the rules to heal the system at America's oldest public hospital.,"27,709",43.0,,4121,0,0,0,0
68,Line of Duty,8.7,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","46,751",60.0,,3510,0,0,0,0
69,The 100,7.6,"Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","226,962",43.0,,5427,0,0,0,0
70,New Girl,7.7,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","200,421",22.0,,4122,0,0,0,0
71,Prison Break,8.3,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","492,438",44.0,,4499,0,0,0,0
72,Sex Education,8.3,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,"177,274",45.0,,4929,0,0,0,0
73,A Classic Horror Story,5.7,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.","8,822",95.0,,519,0,0,0,0
74,Feels Like Ishq,6.6,Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.,848,32.0,,2168,0,0,0,0
75,Young Royals,8.6,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.","16,954",50.0,,6802,0,0,0,0
76,Shadow and Bone,7.7,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,"60,283",,,4941,0,0,0,0
77,The Hitman's Bodyguard,6.9,"The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.","205,979",118.0,$75.47M,5699,0,0,0,0
78,Mad Men,8.6,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","216,203",47.0,,3655,0,0,0,0
79,Élite,7.5,"When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.","59,730",60.0,,6871,0,0,0,0
80,Gilmore Girls,8.1,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.","106,650",44.0,,2389,0,0,0,0
81,Sky Rojo,6.5,"Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.","6,940",31.0,,5059,0,0,0,0
82,Lupin,7.5,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.","84,428",45.0,,3639,0,0,0,0
83,Trollhunters: Rise of the Titans,6.9,The heroes from the Trollhunters series team-up on an epic adventure to fight the Arcane Order for control over the magic that binds them all.,"2,353",104.0,,6299,0,0,0,0
84,Heartland,8.4,"A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.","11,764",45.0,,2635,0,0,0,0
85,Jurassic Park,8.1,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"897,444",127.0,$402.45M,3135,0,0,0,0
86,Family Guy,8.1,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.","312,584",22.0,,2119,0,0,0,0
87,Daredevil,8.6,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","374,963",54.0,,1651,0,0,0,0
88,Dark,8.8,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","312,629",60.0,,1660,0,0,0,0
89,Boku no hîrô akademia,8.4,A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,"44,367",24.0,,1181,0,0,0,0
90,Cobra Kai,8.6,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","122,268",30.0,,1485,0,0,0,0
91, Kingdom,7.1,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom.""","6,388",92.0,,178,0,0,0,0
92,Gotham,7.8,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,"216,458",42.0,,2461,0,0,0,0
93,Billions,8.4,"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.","74,094",60.0,,1097,0,0,0,0
94,Agents of S.H.I.E.L.D.,7.5,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.","205,119",45.0,,642,0,0,0,0
95,Don't Breathe,7.1,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","237,601",88.0,$89.22M,1848,0,0,0,0
96,The Ice Road,5.6,"After a remote diamond mine collapses in far northern Canada, a ‘big-rig’ ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.","20,561",109.0,,5725,0,0,0,0
97,Arrow,7.5,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","414,712",42.0,,843,0,0,0,0
98,Orange Is the New Black,8.0,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.","284,554",59.0,,4279,0,0,0,0
99,Gossip Girl,7.4,Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.,"159,666",42.0,,2460,0,0,0,0
100,Bridgerton,7.3,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.","83,944",60.0,,1245,0,0,0,0
101,The Kominsky Method,8.2,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.","33,440",30.0,,5778,0,0,0,0
102,Homeland,8.3,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,"322,307",55.0,,2739,0,0,0,0
103,Riverdale,6.8,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","126,112",45.0,,4688,0,0,0,0
104,Sherlock,9.1,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,"839,029",88.0,,4972,0,0,0,0
105,La cocinera de Castamar,7.4,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.","1,336",,,3352,0,0,0,0
106,Queen of the South,8.0,Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.,"23,318",42.0,,4540,0,0,0,0
107,CSI: Crime Scene Investigation,7.6,Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.,"78,589",60.0,,1299,0,0,0,0
108,The Umbrella Academy,8.0,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","175,513",60.0,,6058,0,0,0,0
109,Supergirl,6.2,The adventures of Superman's cousin in her own superhero career.,"115,373",43.0,,5299,0,0,0,0
110,BoJack Horseman,8.7,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","124,318",25.0,,1166,0,0,0,0
111,The Lord of the Rings: The Fellowship of the Ring,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"1,713,028",178.0,$315.54M,5816,0,0,0,0
112,I Think You Should Leave with Tim Robinson,7.8,"In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.","8,095",16.0,,2845,0,0,0,0
113,South Park,8.7,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","340,148",22.0,,5134,0,0,0,0
114,Once Upon a Time,7.7,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,"212,616",60.0,,4240,0,0,0,0
115,Star Trek: Discovery,7.2,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.","101,079",60.0,,5198,0,0,0,0
116,Teen Wolf,7.6,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,"132,950",41.0,,5395,0,0,0,0
117,How to Get Away with Murder,8.1,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,"136,135",43.0,,2788,0,0,0,0
118,Star Trek: Deep Space Nine,8.0,"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.","55,687",45.0,,5197,0,0,0,0
119,Seinfeld,8.8,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"264,801",22.0,,4888,0,0,0,0
120,Spartacus: Blood and Sand,8.5,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","228,484",55.0,,5147,0,0,0,0
121,Hawaii Five-0,7.3,Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0.,"68,627",42.0,,2616,0,0,0,0
122,Good Witch,7.3,"""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.","8,268",48.0,,2452,0,0,0,0
123,The Sinner,7.9,Anthology series that examines how and why ordinary people commit brutal crimes.,"96,901",45.0,,6004,0,0,0,0
124,Arrested Development,8.7,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.","284,373",22.0,,841,0,0,0,0
125,Escape Room,6.4,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,"99,351",99.0,$57.01M,2057,0,0,0,0
126,You,7.7,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","157,666",45.0,,6800,0,0,0,0
127,Mindhunter,8.6,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","235,694",60.0,,3857,0,0,0,0
128,Jaws,8.0,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","558,731",124.0,$260.00M,3008,0,0,0,0
129,Avatar: The Last Airbender,9.3,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","265,845",23.0,,893,0,0,0,0
130,The Punisher,8.5,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.","194,777",53.0,,5945,0,0,0,0
131,Star Trek: Voyager,7.8,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.","61,917",44.0,,5200,0,0,0,0
132,The Departed,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"1,227,522",151.0,$132.38M,5584,0,0,0,0
133,Narcos,8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","375,261",49.0,,4080,0,0,0,0
134,The Serpent,7.6,"The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail.","33,936",58.0,,5994,0,0,0,0
135,Star Wars: The Clone Wars,8.3,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,"71,904",23.0,,5202,0,0,0,0
136,"Murder, She Wrote",7.0,"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.","20,330",50.0,,3993,0,0,0,0
137,Fatherhood,6.7,A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.,"26,508",109.0,,2151,0,0,0,0
138,Blue Bloods,7.6,Revolves around a family of New York cops.,"34,064",43.0,,1153,0,0,0,0
